Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Width,Body_Type,Doors,ARAI_Certified_Mileage,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Power_Steering,Power_Windows,Power,Torque,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Type,12v_Power_Outlet,Audiosystem,Basic_Warranty,Boot-lid_Opener,Boot_Space,Central_Locking,Child_Safety_Locks,Clock,Door_Pockets,Engine_Malfunction_Light,Fuel-lid_Opener,Fuel_Gauge,Multifunction_Display,ABS_(Anti-lock_Braking_System),EBD_(Electronic_Brake-force_Distribution),Number_of_Airbags,USB_Compatibility,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Selling_Price
24,22,915,533,127,3.0,4.0,2,1,2,1,0,7,5,69,5,5,5.0,227,1,29,2,0,51,3,4,1,306,334,1,0,0,3,5.0,1,4,1,7,0,13,1,1,1,0,1,0,2,1,0,0,1.0,1,0,2,17.91
6,89,435,446,10,3.0,4.0,2,1,2,1,0,7,5,86,16,5,5.0,168,1,40,2,0,87,65,0,1,304,7,1,0,3,2,5.0,4,4,6,7,2,39,1,1,1,1,1,8,2,1,1,1,2.0,0,1,2,11.38
6,89,830,547,10,3.0,4.0,2,1,2,1,0,7,5,86,16,5,5.0,168,1,40,2,0,87,65,0,0,304,7,1,0,1,2,5.0,4,4,7,7,0,39,1,1,1,0,1,0,2,1,1,1,2.0,1,1,2,11.2
6,89,831,596,10,3.0,4.0,2,1,2,1,0,7,5,86,16,5,5.0,168,1,40,2,0,87,65,0,0,304,7,1,0,4,2,5.0,4,4,7,7,2,39,1,1,1,0,1,8,2,1,1,1,2.0,1,1,2,11.64
6,89,369,570,10,3.0,4.0,2,1,2,1,0,7,5,86,16,5,5.0,168,1,40,2,0,87,65,0,0,304,7,1,0,3,2,5.0,4,4,6,7,0,39,1,1,1,0,1,0,2,1,1,1,2.0,0,1,2,11.24
6,89,368,548,10,3.0,4.0,2,1,2,1,0,7,5,86,16,5,5.0,168,1,40,2,0,87,65,0,1,304,7,1,0,3,2,5.0,4,4,6,7,0,39,1,1,1,0,1,0,2,1,1,1,2.0,0,1,2,11.24
6,89,836,616,10,3.0,4.0,2,1,2,1,0,7,5,86,16,5,5.0,168,1,40,2,0,87,65,0,0,304,7,1,0,1,2,5.0,4,4,7,7,0,39,1,1,1,0,1,0,2,1,1,1,2.0,1,1,2,11.2
6,89,833,640,10,3.0,4.0,2,1,2,1,0,7,5,86,16,5,5.0,168,1,40,2,0,87,65,0,0,304,7,1,0,4,2,5.0,4,4,7,7,2,39,1,1,1,0,1,8,2,1,1,1,2.0,1,1,2,11.64
6,89,835,679,10,3.0,4.0,2,1,2,1,0,7,5,86,16,5,5.0,168,1,40,2,0,87,65,0,0,332,7,1,0,1,2,5.0,4,4,7,7,0,39,1,1,1,0,1,0,2,1,1,1,2.0,1,1,2,11.2
6,89,832,719,10,3.0,4.0,2,1,2,1,0,7,5,86,16,5,5.0,168,1,40,2,0,87,65,0,0,332,7,1,0,1,2,5.0,4,4,7,7,2,39,1,1,1,0,1,2,2,1,1,1,2.0,1,1,2,11.2
